IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocation,Location type,SpatialDimValueCode,Location,Period type,Period,IsLatestYear,Dim1 type,Dim1,Dim1ValueCode,Dim2 type,Dim2,Dim2ValueCode,Dim3 type,Dim3,Dim3ValueCode,DataSourceDimValueCode,DataSource,FactValueNumericPrefix,FactValueNumeric,FactValueUoM,FactValueNumericLowPrefix,FactValueNumericLow,FactValueNumericHighPrefix,FactValueNumericHigh,Value,FactValueTranslationID,FactComments,Language,DateModified
GLASSAMC_TC,Total use of antibacterials expressed as DDD per 1000 inhabitants per day,numeric,EUR,Europe,Country,ISL,Iceland,Year,2023,true,,,,,,,,,,,,,18.06,,,,,,18.06,,,EN,2025-09-23T20:30:00.000Z
GLASSAMC_TC,Total use of antibacterials expressed as DDD per 1000 inhabitants per day,numeric,WPR,Western Pacific,Country,LAO,Lao People's Democratic Republic,Year,2023,true,,,,,,,,,,,,,18.44,,,,,,18.44,,,EN,2025-09-23T20:30:00.000Z
GLASSAMC_TC,Total use of antibacterials expressed as DDD per 1000 inhabitants per day,numeric,EUR,Europe,Country,TJK,Tajikistan,Year,2023,true,,,,,,,,,,,,,18.67,,,,,,18.67,,,EN,2025-09-23T20:30:00.000Z
GLASSAMC_TC,Total use of antibacterials expressed as DDD per 1000 inhabitants per day,numeric,AFR,Africa,Country,ZAF,South Africa,Year,2023,true,,,,,,,,,,,,,18.87,,,,,,18.87,,Only use in the public sector reported,EN,2025-09-23T20:30:00.000Z
GLASSAMC_TC,Total use of antibacterials expressed as DDD per 1000 inhabitants per day,numeric,EUR,Europe,Country,CZE,Czechia,Year,2023,true,,,,,,,,,,,,,18.91,,,,,,18.91,,,EN,2025-09-23T20:30:00.000Z
GLASSAMC_TC,Total use of antibacterials expressed as DDD per 1000 inhabitants per day,numeric,EUR,Europe,Country,LTU,Lithuania,Year,2023,true,,,,,,,,,,,,,18.92,,,,,,18.92,,,EN,2025-09-23T20:30:00.000Z
GLASSAMC_TC,Total use of antibacterials expressed as DDD per 1000 inhabitants per day,numeric,EUR,Europe,Country,PRT,Portugal,Year,2023,true,,,,,,,,,,,,,19.75,,,,,,19.75,,,EN,2025-09-23T20:30:00.000Z
GLASSAMC_TC,Total use of antibacterials expressed as DDD per 1000 inhabitants per day,numeric,AFR,Africa,Country,BFA,Burkina Faso,Year,2023,true,,,,,,,,,,,,,20.24,,,,,,20.24,,For antibiotics: only J01 and P01AB reported,EN,2025-09-23T20:30:00.000Z
GLASSAMC_TC,Total use of antibacterials expressed as DDD per 1000 inhabitants per day,numeric,EUR,Europe,Country,BLR,Belarus,Year,2023,true,,,,,,,,,,,,,20.42,,,,,,20.42,,,EN,2025-09-23T20:30:00.000Z
GLASSAMC_TC,Total use of antibacterials expressed as DDD per 1000 inhabitants per day,numeric,EUR,Europe,Country,BEL,Belgium,Year,2023,true,,,,,,,,,,,,,20.93,,,,,,20.93,,,EN,2025-09-23T20:30:00.000Z
GLASSAMC_TC,Total use of antibacterials expressed as DDD per 1000 inhabitants per day,numeric,EUR,Europe,Country,HRV,Croatia,Year,2023,true,,,,,,,,,,,,,21.48,,,,,,21.48,,,EN,2025-09-23T20:30:00.000Z
GLASSAMC_TC,Total use of antibacterials expressed as DDD per 1000 inhabitants per day,numeric,AFR,Africa,Country,BEN,Benin,Year,2023,true,,,,,,,,,,,,,22.48,,,,,,22.48,,,EN,2025-09-23T20:30:00.000Z
GLASSAMC_TC,Total use of antibacterials expressed as DDD per 1000 inhabitants per day,numeric,AMR,Americas,Country,COL,Colombia,Year,2023,true,,,,,,,,,,,,,22.68,,,,,,22.68,,,EN,2025-09-23T20:30:00.000Z
GLASSAMC_TC,Total use of antibacterials expressed as DDD per 1000 inhabitants per day,numeric,EUR,Europe,Country,IRL,Ireland,Year,2023,true,,,,,,,,,,,,,22.77,,,,,,22.77,,,EN,2025-09-23T20:30:00.000Z
GLASSAMC_TC,Total use of antibacterials expressed as DDD per 1000 inhabitants per day,numeric,EUR,Europe,Country,POL,Poland,Year,2023,true,,,,,,,,,,,,,23.97,,,,,,23.97,,,EN,2025-09-23T20:30:00.000Z
GLASSAMC_TC,Total use of antibacterials expressed as DDD per 1000 inhabitants per day,numeric,AFR,Africa,Country,ZMB,Zambia,Year,2023,true,,,,,,,,,,,,,24.07,,,,,,24.07,,,EN,2025-09-23T20:30:00.000Z
